,KCNTOMS,QPROREL,UAVLEGM,UAVLEGS,KLAMPO95,KLAMPO147,KLAMPO148,KLAMPO149,ZVCT,ZINST63,KBCDO17,KBCDO18,KBCDO19,KBCDO20,KBCDO21,KBCDO22,KLAMPO224,KLAMPO22,KLAMPO150,KLAMPO244,KLAMPO241,KLAMPO242,KLAMPO243,KLAMPO181,KLAMPO182,KLAMPO183,CAXOFF,R,S,UP_D,UP_O,DOWN_D,DOWN_O,Act,time
63,370,0.02161351405084133,292.1776428222656,291.70001220703125,0,0,0,0,80.90655517578125,28.61761474609375,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6180015206336975,0.026608056445312514,62,293.84724,295.84724,291.84724,289.84724,1,315
64,376,0.021813198924064636,292.2250061035156,291.70001220703125,0,0,0,0,80.98002624511719,28.576967239379883,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6166498064994812,0.026266122070311666,63,293.86170000000004,295.86170000000004,291.86170000000004,289.86170000000004,1,320
65,383,0.022119086235761642,292.2680969238281,291.70001220703125,0,0,0,0,81.06350708007812,28.506484985351562,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.614722490310669,0.026790538476562004,64,293.87857,295.87857,291.87857,289.87857,0,325
66,389,0.022384122014045715,292.29278564453125,291.70001220703125,0,0,0,0,81.13319396972656,28.422794342041016,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6141757965087891,0.027995112890624795,65,293.89303,295.89303,291.89303,289.89303,0,330
67,395,0.02260834351181984,292.30364990234375,291.70001220703125,0,0,0,0,81.201171875,28.314157485961914,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6139695048332214,0.02792319804687395,66,293.90749000000005,295.90749000000005,291.90749000000005,289.90749000000005,0,335
68,401,0.02280842512845993,292.3053894042969,291.70001220703125,0,0,0,0,81.2674560546875,28.187026977539062,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6138033866882324,0.02766878808593674,67,293.92195000000004,295.92195000000004,291.92195000000004,289.92195000000004,0,340
69,407,0.022995084524154663,292.30279541015625,291.70001220703125,0,0,0,0,81.33210754394531,28.051212310791016,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6136590838432312,0.02732770820312453,68,293.93641,295.93641,291.93641,289.93641,0,345
70,413,0.023174356669187546,292.2978210449219,291.70001220703125,0,0,0,0,81.39515686035156,27.91064453125,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6135306358337402,0.02693902089843732,69,293.95087,295.95087,291.95087,289.95087,0,350
71,419,0.023349981755018234,292.28973388671875,291.70001220703125,0,0,0,0,81.4566421508789,27.76433753967285,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6134170889854431,0.026488077734373974,70,293.96533000000005,295.96533000000005,291.96533000000005,289.96533000000005,0,355
72,425,0.02352464385330677,292.27862548828125,291.70001220703125,0,0,0,0,81.51658630371094,27.611408233642578,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.613315999507904,0.025976709765624263,71,293.97979000000004,295.97979000000004,291.97979000000004,289.97979000000004,2,360
73,431,0.023630216717720032,292.2662658691406,291.70001220703125,0,0,0,0,81.57503509521484,27.4567813873291,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6148636341094971,0.024440317382812052,72,293.99425,295.99425,291.99425,289.99425,1,365
74,437,0.023725785315036774,292.2521057128906,291.70001220703125,0,0,0,0,81.63202667236328,27.299938201904297,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6137034893035889,0.023867914257812345,73,294.00871,296.00871,292.00871,290.00871,0,370
75,443,0.023873206228017807,292.2382507324219,291.70001220703125,0,0,0,0,81.68759155273438,27.14107894897461,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6136028170585632,0.024301614648436498,74,294.02317000000005,296.02317000000005,292.02317000000005,290.02317000000005,0,375
76,449,0.02402654103934765,292.2229919433594,291.70001220703125,0,0,0,0,81.74176788330078,26.979562759399414,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6135316491127014,0.02370723886718679,75,294.03763000000004,296.03763000000004,292.03763000000004,290.03763000000004,0,380
77,455,0.024183617904782295,292.2084045410156,291.70001220703125,0,0,0,0,81.79458618164062,26.81850814819336,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.613471508026123,0.02312629082031208,76,294.05209,296.05209,292.05209,290.05209,0,385
78,461,0.02434246800839901,292.195556640625,291.70001220703125,0,0,0,0,81.84608459472656,26.661273956298828,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6134175062179565,0.02258013281249987,77,294.06655,296.06655,292.06655,290.06655,1,390
79,467,0.024574557319283485,292.1846008300781,291.70001220703125,0,0,0,0,81.89630889892578,26.506175994873047,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6117188930511475,0.021071816601561523,78,294.08101000000005,296.08101000000005,292.08101000000005,290.08101000000005,0,395
80,473,0.02485823817551136,292.1755676269531,291.70001220703125,0,0,0,0,81.9452896118164,26.353464126586914,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6115319132804871,0.021601952539061813,79,294.09547000000003,296.09547000000003,292.09547000000003,290.09547000000003,1,400
